Lat;Lon;alfa
-8.12458;112.27792;-167.9876
-8.12375;112.27792;-167.9876
-8.26792;112.31208;-167.9876
-8.26708;112.31208;-167.9876
-8.23208;112.30292;-167.9876
-8.23125;112.30292;-167.9876
-8.23042;112.30292;-167.9876
-8.22458;112.30125;-167.9876
-8.21792;112.30042;-167.9876
-8.21792;112.30042;-167.9876
-8.21208;112.29875;-167.9876
-8.21125;112.29875;-167.9876
-8.21042;112.29875;-167.9876
-8.21042;112.29875;-167.9876
-8.16458;112.28708;-167.9876
-8.15792;112.28542;-167.9876
-8.15542;112.28542;-167.9876
-8.14625;112.28292;-167.9876
-8.14625;112.28292;-167.9876
-8.14542;112.28292;-167.9876
-8.14375;112.28292;-167.9876
-8.13625;112.28125;-167.9876
-8.13625;112.28125;-167.9876
-8.13542;112.28125;-167.9876
-8.12375;112.27875;-167.9876
-8.28875;112.31708;-167.9876
-8.28792;112.31708;-167.9876
-8.27042;112.31292;-167.9876
-8.27042;112.31292;-167.9876
-8.26875;112.31292;-167.9876
-8.26792;112.31292;-167.9876
-8.26792;112.31292;-167.9876
-8.26542;112.31208;-167.9876
-8.26458;112.31208;-167.9876
-8.26375;112.31125;-167.9876
-8.25708;112.31042;-167.9876
-8.23125;112.30375;-167.9876
-8.21792;112.30125;-167.9876
-8.16625;112.28875;-167.9876
-8.16542;112.28792;-167.9876
-8.16542;112.28792;-167.9876
-8.16458;112.28792;-167.9876
-8.15542;112.28625;-167.9876
-8.14542;112.28375;-167.9876
-8.14375;112.28375;-167.9876
-8.14292;112.28375;-167.9876
-8.13625;112.28208;-167.9876
-8.13542;112.28208;-167.9876
-8.12792;112.28042;-167.9876
-8.12708;112.28042;-167.9876
-8.28708;112.31792;-167.9876
-8.28292;112.31708;-167.9876
-8.27708;112.31458;-167.9876
-8.26958;112.31375;-167.9876
-8.26958;112.31375;-167.9876
-8.26708;112.31375;-167.9876
-8.26625;112.31292;-167.9876
-8.26542;112.31292;-167.9876
-8.25708;112.31125;-167.9876
-8.24875;112.30875;-167.9876
-8.23125;112.30458;-167.9876
-8.22875;112.30375;-167.9876
-8.22042;112.30208;-167.9876
-8.21958;112.30208;-167.9876
-8.21458;112.30125;-167.9876
-8.21458;112.30125;-167.9876
-8.21292;112.30125;-167.9876
-8.21208;112.30042;-167.9876
-8.16542;112.28875;-167.9876
-8.16458;112.28875;-167.9876
-8.16458;112.28875;-167.9876
-8.15708;112.28708;-167.9876
-8.15708;112.28708;-167.9876
-8.15625;112.28708;-167.9876
-8.14458;112.28458;-167.9876
-8.14375;112.28458;-167.9876
-8.14292;112.28458;-167.9876
-8.14208;112.28375;-167.9876
-8.13042;112.28125;-167.9876
-8.13042;112.28125;-167.9876
-8.12958;112.28125;-167.9876
-8.12875;112.28125;-167.9876
-8.12792;112.28125;-167.9876
-8.12792;112.28125;-167.9876
-8.12708;112.28125;-167.9876
-8.28708;112.31875;-167.9876
-8.28625;112.31875;-167.9876
-8.28292;112.31792;-167.9876
-8.27708;112.31542;-167.9876
