Lat;Lon;θ
-8.13042;112.28125;37.90457153
-8.13042;112.28125;37.90457153
-8.12958;112.28125;37.90592575
-8.12875;112.28125;37.90695953
-8.12792;112.28125;37.90816879
-8.12792;112.28125;37.90816879
-8.12708;112.28125;37.90938187
-8.28708;112.31875;37.40300369
-8.28625;112.31875;37.40424347
-8.28292;112.31792;37.41419983
-8.27708;112.31542;37.44600296
-8.27708;112.31542;37.44600296
-8.26292;112.31292;37.48083115
-8.25708;112.31208;37.49383926
-8.25125;112.31042;37.51583099
-8.25042;112.31042;37.51784897
-8.24958;112.30958;37.52451706
-8.24958;112.30958;37.52451706
-8.24625;112.30875;37.53728867
-8.23125;112.30542;37.58459473
-8.22042;112.30292;37.61700058
-8.21542;112.30208;37.63055038
-8.21458;112.30208;37.63128662
-8.21375;112.30208;37.63218689
-8.21375;112.30208;37.63218689
-8.21292;112.30208;37.63304138
-8.15625;112.28792;37.8219223
-8.15625;112.28792;37.8219223
-8.14542;112.28542;37.85502625
-8.14458;112.28542;37.85624695
-8.14292;112.28542;37.85873795
-8.14208;112.28458;37.86548615
-8.14208;112.28458;37.86548615
-8.13458;112.28292;37.88756943
-8.12958;112.28208;37.90044022
-8.12958;112.28208;37.90044022
-8.12875;112.28208;37.90148163
-8.12792;112.28208;37.90274048
-8.12708;112.28208;37.90383911
-8.12708;112.28208;37.90383911
-8.12625;112.28125;37.91066742
-8.12542;112.28125;37.91187286
-8.28292;112.31875;37.40882111
-8.28125;112.31875;37.41177368
-8.27708;112.31625;37.44029236
-8.26542;112.31458;37.46475983
-8.25708;112.31292;37.48816681
-8.23042;112.30625;37.58008957
-8.22208;112.30458;37.60385132
-8.22125;112.30375;37.6103363
-8.21375;112.30292;37.62648392
-8.21292;112.30292;37.62760162
-8.21292;112.30208;37.63304138
-8.15792;112.28958;37.80840302
-8.14625;112.28625;37.84842682
-8.14625;112.28625;37.84842682
-8.14458;112.28625;37.85078049
-8.14292;112.28625;37.85323334
-8.14125;112.28542;37.86114502
-8.14125;112.28542;37.86114502
-8.14042;112.28542;37.86257172
-8.12875;112.28292;37.8962326
-8.12875;112.28292;37.8962326
-8.12792;112.28292;37.89740753
-8.12708;112.28292;37.89861679
-8.12625;112.28208;37.90518188
-8.12542;112.28208;37.90660095
-8.12458;112.28208;37.90782547
-8.28542;112.32042;37.39359283
-8.27708;112.31708;37.43460464
-8.26542;112.31542;37.45903397
-8.26458;112.31542;37.46038818
-8.26458;112.31542;37.46038818
-8.25708;112.31375;37.48299789
-8.25708;112.31375;37.48299789
-8.24292;112.30958;37.53658295
-8.22375;112.30542;37.59661484
-8.22292;112.30542;37.59761047
-8.22208;112.30542;37.59867477
-8.22208;112.30542;37.59867477
-8.21375;112.30375;37.62114716
-8.21292;112.30375;37.62242126
-8.16208;112.29042;37.79684448
-8.15792;112.29042;37.8030777
-8.15708;112.28958;37.80966568
-8.15625;112.28958;37.81116486
-8.15542;112.28958;37.81253052
-8.14542;112.28708;37.84400177
-8.14458;112.28708;37.84559631
-8.14375;112.28708;37.84663773
-8.14292;112.28708;37.84792709
-8.14292;112.28708;37.84792709
-8.14125;112.28625;37.85567474
-8.14042;112.28625;37.8571434
-8.14042;112.28625;37.8571434
-8.13042;112.28458;37.88290405
