Lat;Lon;LOS_DES
-8.12958;112.28208;-0.6314
-8.12875;112.28208;-0.4433
-8.12792;112.28208;-0.1379
-8.12708;112.28208;-0.5583
-8.12708;112.28208;-0.5583
-8.12625;112.28125;-0.2138
-8.12542;112.28125;-0.3869
-8.28292;112.31875;-2.8358
-8.28125;112.31875;-2.7866
-8.27708;112.31625;-3.0447
-8.26542;112.31458;-1.0574
-8.25708;112.31292;-2.097
-8.23042;112.30625;-1.1581
-8.22208;112.30458;-1.4017
-8.22125;112.30375;-1.5254
-8.21375;112.30292;-1.5453
-8.21292;112.30292;-1.6288
-8.21292;112.30208;-1.2001
-8.15792;112.28958;-0.8401
-8.14625;112.28625;-0.639
-8.14625;112.28625;-0.639
-8.14458;112.28625;-0.3183
-8.14292;112.28625;-0.4705
-8.14125;112.28542;-0.2828
-8.14125;112.28542;-0.2828
-8.14042;112.28542;0.0069
-8.12875;112.28292;-0.5434
-8.12875;112.28292;-0.5434
-8.12792;112.28292;-0.2835
-8.12708;112.28292;-0.3115
-8.12625;112.28208;0.0943
-8.12542;112.28208;0.173
-8.12458;112.28208;-0.213
-8.28542;112.32042;-0.7378
-8.27708;112.31708;-1.7997
-8.26542;112.31542;-1.1543
-8.26458;112.31542;-1.2311
-8.26458;112.31542;-1.2311
-8.25708;112.31375;-2.0925
-8.25708;112.31375;-2.0925
-8.24292;112.30958;-1.0978
-8.22375;112.30542;-1.068
-8.22292;112.30542;-1.0584
-8.22208;112.30542;-0.6304
-8.22208;112.30542;-0.6304
-8.21375;112.30375;-1.2728
-8.21292;112.30375;-1.529
-8.16208;112.29042;-0.6636
-8.15792;112.29042;-0.7372
-8.15708;112.28958;-0.4562
-8.15625;112.28958;-0.4352
-8.15542;112.28958;-0.4822
-8.14542;112.28708;-0.2778
-8.14458;112.28708;-0.5386
-8.14375;112.28708;0.0182
-8.14292;112.28708;-0.2109
-8.14292;112.28708;-0.2109
-8.14125;112.28625;-0.0673
-8.14042;112.28625;-0.3526
-8.14042;112.28625;-0.3526
-8.13042;112.28458;0.0537
-8.13042;112.28375;-0.8543
-8.12875;112.28375;-0.3592
-8.12792;112.28375;-0.4136
-8.12792;112.28375;-0.4136
-8.12708;112.28375;-0.5314
-8.12458;112.28292;-0.3536
-8.12375;112.28292;-0.1693
-8.12292;112.28292;-0.4095
-8.12292;112.28292;-0.4095
-8.28542;112.32125;-2.2996
-8.27708;112.31792;-1.2902
-8.27125;112.31792;-1.7632
-8.27042;112.31708;-1.6389
-8.26792;112.31708;-1.1035
-8.26542;112.31625;-1.801
-8.25708;112.31458;-1.8973
-8.25708;112.31458;-1.8973
-8.25208;112.31292;-1.9774
-8.23125;112.30792;-0.9991
-8.22292;112.30625;-1.5214
-8.21375;112.30458;-1.7458
-8.16292;112.29208;-0.8631
-8.16125;112.29125;-0.7872
-8.16125;112.29125;-0.7872
-8.14458;112.28792;-0.407
-8.14458;112.28792;-0.407
-8.14375;112.28792;-0.311
-8.14292;112.28792;-0.5622
-8.14208;112.28792;0.2431
-8.14208;112.28708;-0.1535
-8.14125;112.28708;-0.4493
-8.14042;112.28708;-0.3586
-8.12958;112.28458;-0.5871
-8.12708;112.28458;-0.5249
-8.27042;112.31875;-1.2373
-8.26792;112.31792;-1.0651
-8.25708;112.31542;-1.7055
-8.25625;112.31542;-2.7072
-8.25292;112.31458;-2.2098
-8.25208;112.31375;-2.1059
-8.24625;112.31208;-0.9813
-8.23542;112.30958;-0.8704
-8.23125;112.30875;-0.7254
-8.22458;112.30708;-1.0974
-8.22375;112.30708;-1.4787
-8.22375;112.30708;-1.4787
-8.16625;112.29375;-0.5925
-8.16208;112.29292;-1.1395
-8.14542;112.28875;-0.1614
-8.14375;112.28875;-0.2825
-8.14375;112.28875;-0.2825
-8.14292;112.28875;-0.8656
-8.14125;112.28792;-0.5244
-8.14125;112.28792;-0.5244
-8.14042;112.28792;-0.4346
-8.13125;112.28625;-0.4776
-8.13125;112.28625;-0.4776
-8.12958;112.28542;-0.3891
-8.12875;112.28542;-0.2275
-8.12875;112.28542;-0.2275
-8.12792;112.28542;-0.3374
-8.12708;112.28542;0.1448
-8.12625;112.28542;-0.0439
-8.12625;112.28458;-0.5022
-8.28208;112.32208;-1.2195
-8.27125;112.31958;-1.4858
-8.27042;112.31958;-1.4823
-8.26958;112.31958;-1.8907
-8.26958;112.31875;-1.0513
-8.26792;112.31875;-0.9926
-8.26125;112.31708;-1.6665
-8.22542;112.30792;-0.5231
-8.22542;112.30792;-0.5231
-8.22458;112.30792;-1.3694
-8.16625;112.29458;-0.5649
-8.15958;112.29292;-0.5112
-8.14625;112.29042;-0.5291
-8.14542;112.28958;-0.2036
-8.14375;112.28958;-0.0626
-8.14292;112.28958;-0.2834
-8.14292;112.28958;-0.2834
-8.14208;112.28958;-0.2585
-8.14125;112.28875;-0.3606
-8.13375;112.28708;-0.3756
-8.13292;112.28708;-0.368
-8.13292;112.28708;-0.368
-8.13208;112.28708;-0.6092
-8.13125;112.28708;-0.301
-8.13042;112.28708;-0.437
-8.12875;112.28625;-0.3538
-8.12792;112.28625;-0.2281
-8.12792;112.28625;-0.2281
-8.12542;112.28542;0.1092
-8.12542;112.28542;0.1092
-8.27958;112.32208;-2.2936
-8.26958;112.31958;-1.8907
-8.26792;112.31958;-1.5634
-8.26708;112.31958;-1.1455
-8.26375;112.31875;-1.7418
-8.26125;112.31792;-1.7225
-8.22458;112.30875;-1.128
-8.21292;112.30625;-1.2545
-8.15958;112.29375;-0.4726
-8.14625;112.29125;-0.2374
-8.14542;112.29042;-0.7459
-8.14458;112.29042;-0.2277
-8.14375;112.29042;0.0002
-8.14292;112.29042;-0.0914
-8.14208;112.29042;-0.0786
-8.14208;112.28958;-0.2585
-8.14125;112.28958;-0.1593
-8.13708;112.28875;-0.294
-8.13708;112.28875;-0.294
-8.13292;112.28792;-0.5405
-8.13208;112.28792;-0.5615
-8.13208;112.28792;-0.5615
-8.13125;112.28792;-0.4236
-8.13042;112.28792;-0.5466
-8.12875;112.28708;0.1627
-8.12792;112.28708;-0.2437
-8.12708;112.28708;-0.1735
-8.12708;112.28708;-0.1735
-8.12625;112.28708;-0.4635
-8.12542;112.28625;0.1127
-8.12542;112.28625;0.1127
-8.12458;112.28625;-0.1898
-8.28208;112.32375;-1.8269
-8.27292;112.32125;-2.0949
-8.26875;112.32042;-1.5206
-8.26875;112.32042;-1.5206
-8.26792;112.32042;-1.3161
-8.26708;112.32042;-1.0957
-8.26208;112.31958;-0.7164
-8.26125;112.31875;-1.3825
-8.23458;112.31208;-0.512
-8.21292;112.30708;-1.6279
-8.21208;112.30708;-1.6078
-8.18625;112.30042;-0.4558
-8.18542;112.30042;-0.697
-8.18542;112.30042;-0.697
-8.16042;112.29458;-0.4515
-8.15792;112.29458;-0.5851
-8.15708;112.29375;-0.653
-8.15625;112.29375;-0.6504
-8.15042;112.29292;-1.5168
-8.14708;112.29208;-0.3409
-8.14625;112.29208;-0.47
-8.14625;112.29125;-0.2374
-8.14458;112.29125;-0.2227
-8.14375;112.29125;-0.6541
-8.14208;112.29125;-0.1754
-8.14125;112.29042;-0.5287
-8.13625;112.28958;-0.4838
-8.13625;112.28958;-0.4838
-8.13125;112.28875;-0.5423
-8.13042;112.28875;-0.3553
-8.12958;112.28792;-0.9155
-8.12958;112.28792;-0.9155
-8.12708;112.28792;-0.2748
-8.12708;112.28792;-0.2748
-8.12625;112.28792;-0.1314
-8.12458;112.28708;-0.5374
-8.28125;112.32458;-1.4614
-8.27625;112.32292;-1.5265
-8.27542;112.32292;-1.6486
-8.27458;112.32292;-1.6385
-8.27375;112.32292;-1.7684
-8.26958;112.32208;-0.2903
-8.26875;112.32125;-1.2019
-8.26792;112.32125;-1.32
-8.26708;112.32125;-1.1484
-8.26625;112.32125;-1.0807
-8.26458;112.32042;-0.1415
-8.26208;112.32042;-0.7771
-8.26125;112.32042;-1.2363
-8.26042;112.31958;-1.9804
-8.25625;112.31875;-1.7644
-8.23708;112.31292;-1.1271
-8.22542;112.31042;-1.1319
-8.22542;112.31042;-1.1319
-8.22458;112.31042;-1.2999
-8.18625;112.30125;-0.3834
-8.18542;112.30125;-0.5013
-8.16042;112.29542;-1.2903
-8.16042;112.29542;-1.2903
-8.15958;112.29542;1.0243
-8.15875;112.29542;-0.8295
-8.15792;112.29542;-0.8557
-8.15792;112.29542;-0.8557
-8.15708;112.29458;-0.6932
-8.14708;112.29292;-0.5058
-8.14375;112.29208;-0.611
-8.14375;112.29208;-0.611
-8.14125;112.29125;-0.7301
-8.13625;112.29042;0.0389
-8.13542;112.29042;0.0723
-8.13125;112.28958;-0.1457
-8.13125;112.28958;-0.1457
-8.13042;112.28958;-0.5137
-8.12958;112.28875;-0.2669
